Comparison_list,P_value,name_variable,FDR_p
Childhood-onset vs. overlap-onset,0.9345549827356014,AdjSpleen,0.9999999999999978
Adult-onset vs. controls,0.7938264147345565,AdjStomach,0.9999999999999984
Childhood-onset vs. controls,0.601128758336842,AdjStomach,0.9999999999999984
Overlap-onset vs. controls,0.48526126812144454,AdjStomach,0.9999999999999984
Adult-onset vs. childhood-onset,0.9999999999999927,AdjStomach,0.9999999999999984
Adult-onset vs. overlap-onset,0.9999999999999984,AdjStomach,0.9999999999999984
Childhood-onset vs. overlap-onset,0.8861116408746335,AdjStomach,0.9999999999999984
Adult-onset vs. controls,0.9999999999995202,AdjTestis,0.9999999999999963
Childhood-onset vs. controls,0.01577560202849671,AdjTestis,0.09465361217098027
Overlap-onset vs. controls,0.22892810284899168,AdjTestis,0.686784308546975
Adult-onset vs. childhood-onset,0.6690305809841421,AdjTestis,0.9999999999999963
Adult-onset vs. overlap-onset,0.9051494005303214,AdjTestis,0.9999999999999963
Childhood-onset vs. overlap-onset,0.9999999999999963,AdjTestis,0.9999999999999963
Adult-onset vs. controls,0.8758351220500777,AdjThyroid,0.9345549827356014
Childhood-onset vs. controls,0.49636004286941793,AdjThyroid,0.9345549827356014
Overlap-onset vs. controls,0.4241874875991888,AdjThyroid,0.9345549827356014
Adult-onset vs. childhood-onset,0.6690305809841421,AdjThyroid,0.9345549827356014
Adult-onset vs. overlap-onset,0.48725960706073657,AdjThyroid,0.9345549827356014
Childhood-onset vs. overlap-onset,0.9345549827356014,AdjThyroid,0.9345549827356014
Adult-onset vs. controls,0.9999999999999937,AdjUterus,0.9999999999999937
Childhood-onset vs. controls,0.29111153509995774,AdjUterus,0.8733346052998732
Overlap-onset vs. controls,0.7686169671280025,AdjUterus,0.9999999999999937
Adult-onset vs. childhood-onset,NA,AdjUterus,NA
Adult-onset vs. overlap-onset,NA,AdjUterus,NA
Childhood-onset vs. overlap-onset,NA,AdjUterus,NA
Adult-onset vs. controls,0.7097506965371975,AdjVagina,0.8871883706714968
Childhood-onset vs. controls,0.2132959213728195,AdjVagina,0.5332398034320487
Overlap-onset vs. controls,0.13852462784730726,AdjVagina,0.5332398034320487
Adult-onset vs. childhood-onset,0.9999999999999998,AdjVagina,0.9999999999999998
Adult-onset vs. overlap-onset,NA,AdjVagina,NA
Childhood-onset vs. overlap-onset,0.49664276945315683,AdjVagina,0.8277379490885948
Adult-onset vs. controls,0.9999999999999988,AdjWholeBlood,0.9999999999999988
Childhood-onset vs. controls,0.2936138886437863,AdjWholeBlood,0.8808416659313589
Overlap-onset vs. controls,0.7720227207566936,AdjWholeBlood,0.9999999999999988
Adult-onset vs. childhood-onset,NA,AdjWholeBlood,NA
Adult-onset vs. overlap-onset,NA,AdjWholeBlood,NA
Childhood-onset vs. overlap-onset,NA,AdjWholeBlood,NA
Adult-onset vs. controls,0.5146360018893914,BrainDDG,0.7830169521362138
Childhood-onset vs. controls,2.1388155889384208e-5,BrainDDG,1.2832893533630524e-4
Overlap-onset vs. controls,0.00265854232265501,BrainDDG,0.00797562696796503
Adult-onset vs. childhood-onset,0.7532817605624911,BrainDDG,0.7830169521362138
Adult-onset vs. overlap-onset,0.6221370916589715,BrainDDG,0.7830169521362138
Childhood-onset vs. overlap-onset,0.7830169521362138,BrainDDG,0.7830169521362138
Adult-onset vs. controls,0.12562003868788774,CerebellumDDG,0.2512400773757755
Childhood-onset vs. controls,1.7258495747227742e-6,CerebellumDDG,1.0355097448336645e-5
Overlap-onset vs. controls,0.006475838281778256,CerebellumDDG,0.019427514845334767
Adult-onset vs. childhood-onset,0.9999999999999979,CerebellumDDG,0.9999999999999993
Adult-onset vs. overlap-onset,0.9999999999999993,CerebellumDDG,0.9999999999999993
Childhood-onset vs. overlap-onset,0.9880883163239127,CerebellumDDG,0.9999999999999993
Adult-onset vs. controls,0.17319001395763092,HeartDDG,0.34638002791526185
Childhood-onset vs. controls,0.15123022938723793,HeartDDG,0.34638002791526185
Overlap-onset vs. controls,0.1402662051294734,HeartDDG,0.34638002791526185
Adult-onset vs. childhood-onset,0.4236887512085511,HeartDDG,0.6355331268128266
Adult-onset vs. overlap-onset,0.6807922972071611,HeartDDG,0.6807922972071611
Childhood-onset vs. overlap-onset,0.6733921074613399,HeartDDG,0.6807922972071611
Adult-onset vs. controls,0.6086573707451025,KidneyDDG,0.821257149431906
Childhood-onset vs. controls,0.821257149431906,KidneyDDG,0.821257149431906
Overlap-onset vs. controls,0.30645685597396227,KidneyDDG,0.704096734196969
Adult-onset vs. childhood-onset,0.7073214403670496,KidneyDDG,0.821257149431906
Adult-onset vs. overlap-onset,0.3520483670984845,KidneyDDG,0.704096734196969
Childhood-onset vs. overlap-onset,0.3210982113084556,KidneyDDG,0.704096734196969
Adult-onset vs. controls,0.9999999999999412,LiverDDG,0.9999999999999994
Childhood-onset vs. controls,0.00165586882927259,LiverDDG,0.00993521297563554
Overlap-onset vs. controls,0.6245783026893569,LiverDDG,0.9368674540340354
Adult-onset vs. childhood-onset,0.5147144286668105,LiverDDG,0.9368674540340354
Adult-onset vs. overlap-onset,0.9999999999999994,LiverDDG,0.9999999999999994
Childhood-onset vs. overlap-onset,0.2943770704108566,LiverDDG,0.8831312112325698
Adult-onset vs. controls,0.9999999999999973,OvaryDDG,0.9999999999999993
Childhood-onset vs. controls,0.545334999846791,OvaryDDG,0.9999999999999993
Overlap-onset vs. controls,0.4395444814733988,OvaryDDG,0.9999999999999993
Adult-onset vs. childhood-onset,0.9999999999999993,OvaryDDG,0.9999999999999993
Adult-onset vs. overlap-onset,0.8383868582866296,OvaryDDG,0.9999999999999993
Childhood-onset vs. overlap-onset,0.32664462456365945,OvaryDDG,0.9999999999999993
Adult-onset vs. controls,0.1604785843858792,TestisDDG,0.2407178765788188
Childhood-onset vs. controls,0.6034237205674239,TestisDDG,0.6175614054921653
Overlap-onset vs. controls,0.14202374132560158,TestisDDG,0.2407178765788188
Adult-onset vs. childhood-onset,0.13481815717070564,TestisDDG,0.2407178765788188
Adult-onset vs. overlap-onset,0.6175614054921653,TestisDDG,0.6175614054921653
Childhood-onset vs. overlap-onset,0.12422236075668655,TestisDDG,0.2407178765788188
Adult-onset vs. controls,0.9194151356902395,TestisNoAdultsDDG,0.9888992350306222
Childhood-onset vs. controls,0.26661822518603967,TestisNoAdultsDDG,0.9888992350306222
Overlap-onset vs. controls,0.42718840234962574,TestisNoAdultsDDG,0.9888992350306222
Adult-onset vs. childhood-onset,0.6649940682837634,TestisNoAdultsDDG,0.9888992350306222
Adult-onset vs. overlap-onset,0.6515045778167552,TestisNoAdultsDDG,0.9888992350306222
Childhood-onset vs. overlap-onset,0.9888992350306222,TestisNoAdultsDDG,0.9888992350306222
Adult-onset vs. controls,0.7378138480777368,STR_present,0.9999999999999997
Childhood-onset vs. controls,0.08923303669719056,STR_present,0.5353982201831433
Overlap-onset vs. controls,0.40736933389848345,STR_present,0.9999999999999997
Adult-onset vs. childhood-onset,0.9999999999999948,STR_present,0.9999999999999997
Adult-onset vs. overlap-onset,0.9999999999999997,STR_present,0.9999999999999997
Childhood-onset vs. overlap-onset,0.9999999999999992,STR_present,0.9999999999999997
Adult-onset vs. controls,0.9999999999975494,number_cerebellar_eSTRs,0.9999999999999997
Childhood-onset vs. controls,0.9999999999999997,number_cerebellar_eSTRs,0.9999999999999997
Overlap-onset vs. controls,0.9999999999999848,number_cerebellar_eSTRs,0.9999999999999997
Adult-onset vs. childhood-onset,0.9999999999999994,number_cerebellar_eSTRs,0.9999999999999997
Adult-onset vs. overlap-onset,0.9999999999999984,number_cerebellar_eSTRs,0.9999999999999997
Childhood-onset vs. overlap-onset,0.9999999999999957,number_cerebellar_eSTRs,0.9999999999999997
Adult-onset vs. controls,0.999999999999999,number_heart_eSTRs,0.999999999999999
Childhood-onset vs. controls,0.10507681445881482,number_heart_eSTRs,0.6304608867528889
Overlap-onset vs. controls,0.9999999999999909,number_heart_eSTRs,0.999999999999999
Adult-onset vs. childhood-onset,0.8301036177053066,number_heart_eSTRs,0.999999999999999
Adult-onset vs. overlap-onset,0.9999999999999984,number_heart_eSTRs,0.999999999999999
Childhood-onset vs. overlap-onset,0.5706737213618387,number_heart_eSTRs,0.999999999999999
Adult-onset vs. controls,0.9999999999996806,number_nerve_eSTRs,0.9999999999999998
Childhood-onset vs. controls,0.3309272344950339,number_nerve_eSTRs,0.9999999999999998
Overlap-onset vs. controls,0.999999999999949,number_nerve_eSTRs,0.9999999999999998
Adult-onset vs. childhood-onset,0.9999999999999919,number_nerve_eSTRs,0.9999999999999998
Adult-onset vs. overlap-onset,0.9999999999999998,number_nerve_eSTRs,0.9999999999999998
Childhood-onset vs. overlap-onset,0.9155251285441265,number_nerve_eSTRs,0.9999999999999998
Adult-onset vs. controls,0.9999999999999966,CL,0.9999999999999966
Childhood-onset vs. controls,2.4586846629768194e-4,CL,9.653908016787171e-4
Overlap-onset vs. controls,3.217969338929057e-4,CL,9.653908016787171e-4
Adult-onset vs. childhood-onset,0.47524753099257877,CL,0.7128712964888682
Adult-onset vs. overlap-onset,0.3362776096188876,CL,0.6725552192377752
Childhood-onset vs. overlap-onset,0.6103622121705335,CL,0.7324346546046402
Adult-onset vs. controls,0.5171446231894535,DL,0.6860305614918171
Childhood-onset vs. controls,1.895983312139104e-17,DL,1.1375899872834624e-16
Overlap-onset vs. controls,0.2086120464373847,DL,0.4172240928747694
Adult-onset vs. childhood-onset,0.5716921345765142,DL,0.6860305614918171
Adult-onset vs. overlap-onset,0.9999999999999991,DL,0.9999999999999991
Childhood-onset vs. overlap-onset,0.0840407550388225,DL,0.2521222651164675
Adult-onset vs. controls,0.9933244110784928,SV,0.999999999999999
Childhood-onset vs. controls,0.44920081525445194,SV,0.999999999999999
Overlap-onset vs. controls,0.6262138756607607,SV,0.999999999999999
Adult-onset vs. childhood-onset,0.8301036177053066,SV,0.999999999999999
Adult-onset vs. overlap-onset,0.8340305366161993,SV,0.999999999999999
Childhood-onset vs. overlap-onset,0.999999999999999,SV,0.999999999999999
Adult-onset vs. controls,0.9999999999998135,VN,0.9999999999999978
Childhood-onset vs. controls,0.5551725021834617,VN,0.9999999999999978
Overlap-onset vs. controls,0.9199551162965411,VN,0.9999999999999978
Adult-onset vs. childhood-onset,0.9999999999999735,VN,0.9999999999999978
Adult-onset vs. overlap-onset,0.9999999999999978,VN,0.9999999999999978
Childhood-onset vs. overlap-onset,0.6550818523777591,VN,0.9999999999999978
Adult-onset vs. controls,0.02057701380587667,VP,0.03561504728020266
Childhood-onset vs. controls,0.007546769993089276,VP,0.022640309979267827
Overlap-onset vs. controls,0.5994746644951875,VP,0.5994746644951875
Adult-onset vs. childhood-onset,2.026556031170846e-4,VP,0.0012159336187025076
Adult-onset vs. overlap-onset,0.17497884588525864,VP,0.20997461506231035
Childhood-onset vs. overlap-onset,0.023743364853468438,VP,0.03561504728020266
